學校代碼,學校名稱,高級中等學校原住民一年級學生數,高級中等學校原住民二年級學生數,高級中等學校原住民三年級學生數,高級中等學校原住民四年級學生數,高級中等學校原住民延修生學生數,高級中等學校上學年度原住民畢業生人數
80401,國立仁愛高農,46,48,45,0,1,39
80403,國立埔里高工,45,41,20,0,0,27
80404,國立南投高商,8,10,4,0,0,2
80406,國立草屯商工,9,2,10,0,0,11
80410,國立水里商工,25,13,16,0,0,17
81409,私立同德家商,33,38,29,0,0,30
90401,國立虎尾農工,4,2,1,0,0,5
90402,國立西螺農工,5,6,2,0,0,4
90403,國立斗六家商,6,4,5,0,0,8
90404,國立北港農工,0,0,0,0,0,5
90413,國立土庫商工,2,2,0,0,0,7
91410,私立大成商工,5,2,3,0,0,6
91414,私立大德工商,4,2,3,0,0,5
100402,國立民雄農工,2,5,1,0,0,1
101405,私立協志工商,8,8,8,0,0,5
101406,私立萬能工商,6,4,17,0,0,10
110401,國立新化高工,4,2,4,0,0,2
110403,國立白河商工,2,3,3,0,0,0
110404,國立北門農工,3,1,2,0,0,2
110405,國立曾文家商,3,3,5,0,0,0
110406,國立新營高工,1,1,1,0,0,2
110407,國立玉井工商,4,0,0,0,0,0
110409,國立臺南高工,14,8,13,0,0,11
110410,國立曾文農工,2,1,2,0,0,3
111419,私立陽明工商,4,2,3,0,0,1
111427,私立育德工家,5,2,2,0,0,6
120401,國立旗山農工,8,13,15,0,3,10
120402,國立岡山農工,9,5,6,0,0,9
120409,國立鳳山商工,8,11,18,0,0,10
121405,私立中山工商,80,81,64,0,0,60
121410,私立旗美商工,5,11,6,0,0,3
121413,私立高英工商,73,59,39,0,0,48
121415,私立華德工家,6,7,10,0,0,14
121417,私立高苑工商,42,37,31,0,0,25
130401,國立內埔農工,46,55,76,0,0,39
130403,國立屏東高工,46,35,34,0,2,27
130404,國立佳冬高農,17,13,20,0,0,16
130410,國立東港海事,5,11,10,0,0,5
130417,國立恆春工商,29,31,34,0,5,22
131409,私立民生家商,124,69,60,0,0,49
131416,私立華洲工家,5,4,8,0,0,6
131418,私立日新工商,32,25,11,0,0,16
140404,國立關山工商,51,67,50,0,2,37
140405,國立臺東高商,137,118,109,0,0,97
140408,國立成功商水,44,42,30,0,0,27
141406,私立公東高工,182,150,141,0,0,115
150401,國立花蓮高農,158,127,108,0,0,111
150404,國立花蓮高工,174,156,113,0,6,122
